57591,"On November 12, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding incidents occurring in the 8th District on September 10, 2006, and on November 12, 2006, involving an on-duty and an off-duty Chicago Police Department (CPD) Sergeant (Sergeants A and B). It was alleged that on September 10, 2006, Sergeant A, while off-duty, grabbed the complainant and tried to pull her inside his vehicle; and kicked the complainant on the leg. In addition, it was alleged that on November 12, 2006, Sergeant A engaged in an unjustified physical altercation with the complainant in that he pulled her by the hair, slammed her to the floor, placed his arm across her throat and choked her, spat on her face, kicked her in the shin and thigh, grabbed her by the coat and pulled off the buttons, pulled her down the stairs by her hair, and/or threw her cell phone outside; and verbally abused the complainant in that he called her a whore. It was further alleged that Sergeant B failed to initiate a Complaint Register (CR) Number against Sergeant A on behalf of the complainant after she made allegations of misconduct against Sergeant A. Based on statements from the accused sergeants, reports, photographs, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that on September 10, 2006, Sergeant A grabbed the complainant and tried to pull her inside his vehicle; and kicked the complainant on the leg. Further, IPRA recommended to SUSTAIN the allegations that on November 12, 2006, Sergeant A engaged in an unjustified physical altercation with the complainant in that he pulled her by the hair, slammed her to the floor, placed his arm across her throat and choked her, spat on her face, kicked her in the shin and thigh, and grabbed her by the coat and pulled off the buttons; and verbally abused the complainant in that he called her a whore. Additionally, IPRA recommended to SUSTAIN the allegation that Sergeant B failed to initiate a CR Number against Sergeant A on behalf of the complainant after she made allegations of misconduct against Sergeant A. IPRA recommended a ten (10) day suspension for Sergeant A and a reprimand for Sergeant B.",0
58317,"On December 23, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a the Office of Professional Standards), regarding an incident occurring in the 14th District, on December 23, 2006, involving twenty Chicago Police Department (CPD) officers (Officers A through T). It was alleged that off-duty Officer A, engaged in an unjustified physical altercation with his girlfriend; engaged in an unjustified verbal altercation with his girlfriend; struck the complainant on the head and face with his gun; pointed his gun at the complainant; engaged in an unjustified physical altercation with the complainant; directed profanities at the complainant; threatened to shoot the complainant; was intoxicated; failed to maintain control of his weapon; failed to report the incident to a supervisor and/or the Department; provided a false report to IPRA; and brought discredit upon the Department. In addition, it was alleged that on-duty Officers B and C both failed to take proper police action; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; failed to return or inventory property received from the complainant; submitted a false report; failed to generate a case report; and made false reports to IPRA. It is also alleged that on-duty Officers D through Q failed to take proper police action; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; and failed to return or inventory property received from the complainant. It is further alleged that Officer P submitted a false report; and failed to generate a case report. It is further alleged that on-duty Officers R and S both failed to take proper police action; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; failed to return or inventory property received from the complainant; and provided false reports to IPRA. In addition, it is alleged that off-duty Officer T had knowledge of police misconduct and failed to report it. Based on statements from the accused officers, reports, photographs, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A engaged in a verbal altercation with his girlfriend; and directed profanities at the complainant. Further, IPRA recommended to SUSTAIN the allegations that Officer A engaged in an unjustified physical altercation with his girlfriend; struck the complainant on the head and face with his gun; pointed his weapon at complainant; engaged in an unjustified physical altercation with the complainant; threatened to shoot the complainant; was intoxicated; failed to maintain control of his weapon; failed to report the incident to a supervisor and/or the Department; provided a false statement to IPRA; and brought discredit upon the Department. Further, IPRA recommended to SUSTAIN the allegations that Officer B failed to take proper police action; failed to notify a supervisor; knew of police misconduct and failed to report it; failed to inventory evidence recovered from the complainant; submitted a false report; failed to generate a case report; and provided a false report to IPRA. Further, IPRA recommended to SUSTAIN the allegations that Officer C failed to take proper police action; failed to notify a supervisor; knew of police misconduct and failed to report it; failed to inventory evidence recovered from the complainant; submitted a false report; failed to generate a case report; and provided a false report to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers D, E, F, G, H, I, J, K, L, M, N, P, Q, and S failed to take proper police action; and had knowledge of misconduct and failed to report it. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers D, E, F, G, H, I, J, K, L, M, N, P, Q, and R failed to notify a supervisor. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers D, F, G, H, I, J, K, L, N, P, Q, and S failed to return or inventory property received from the complainant. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officers E and M failed to return or inventory property received from the complainant. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officer P filed a false report; and failed to generate a case report. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer S provided a false statement to IPRA. Further, IPRA recommended to SUSTAIN the allegations that Officer R failed to provide proper police service; failed to notify a supervisor; had knowledge of police misconduct and failed to report it; failed to return or inventory property obtained from the complainant; and provided a false statement to IPRA. Further, IPRA recommended a finding of UNFOUNDED for the allegations that Officer O failed to take proper police action; failed to notify a supervisor; had knowledge of police conduct and failed to report it; and failed to return or inventory property received from the complainant. Further, IPRA recommended a finding of NOT SUSTAINED for the allegation that Officer T had knowledge of police misconduct and failed to report it. IPRA recommended separation from the Department for Officer A, a sixty (60) day suspension for Officer B, a sixty (60) day suspension for Officer C, and a twenty (20) day suspension for Officer R.",1
78534,"On October 18, 2009, a complaint was registered with the Independent Police Review Authority (IPRA), regarding an incident that occurred on October 18, 2009, involving one off-duty Chicago Police Department (CPD) Officer. It was alleged that the Officer physically maltreated Victim A by shoving her, and verbally abused Victim B by directing a racial slur at him. Based on an admission by the accused, statements from the victim and witnesses, and security camera footage, IPRA recommended to SUSTAIN the allegation that the Officer physically maltreated Victim A by shoving her. IPRA recommended to SUSTAIN the allegation that the Officer verbally abused Victim B by directing a racial slur at him. The Officer apologized to Victim B independent of the investigation. IPRA recommended a five (5) day suspension for the Officer.",1
98674,"In an incident involving an off-duty CPD Officer and the Complainant/Sergeant (husband), it was alleged that while inside a vehicle, the Officer threw coins at the Complainant/Sergeant, struck the Complainant/Sergeant about the body and threatened to leave with the children if the Complainant/Sergeant did not get back in the car.",1
68275,"On 10 May 2008, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident that occurred in the 11th District, on May 10, 2008, in which an off-duty Chicago Police Department (CPD) officer allegedly stuck her adult daughter with a belt. It was also alleged that the officer failed to cooperate with the police investigation regarding this incident and made a false report to IPRA. Because the complainant did not give a sworn affidavit regarding the incident with the belt, IPRA recommended that this allegation be classified as NO AFFIDAVIT. However, based on witness statements from other CPD officers and personnel, IPRA recommended to SUSTAIN the allegation that the accused officer failed to cooperate with a police investigation and to SUSTAIN the allegation that she gave a false statement to IPRA regarding the incident. IPRA recommended a penalty of thirty (30) days suspension.",1
101676,"In an incident involving an on-duty CPD Officer, it was alleged that the Officer unintentionally discharged his weapon while trying to re-holster it.",1
99413,"In an incident involving an on-duty CPD Officer, the Officer was alleged to have accidentally discharged his Taser.",1
52602,"On 04 March 2006, a complaint was registered with the Independent Police Review Authority (IPRA, formerly known as the Office of Professional Standards), regarding an incident that occurred in the 15th District, in which a Chicago Police Department officer allegedly grabbed a complainant by the neck and choked him, threw the complainant on the hood of a car and slammed the complainants head against the hood, grabbed and pulled out the complainants hair, threatened to plant contraband on the complainant, and verbally abused the complainant by directing profanity and derogatory remarks toward the complainant. It was further alleged that a Chicago Police Department sergeant failed to initiate a complaint register investigation on behalf of the complainant. Because there were no corroborating witness statements, IPRA recommended to NOT SUSTAIN the allegations of physical and verbal abuse and physical mistreatment. Based on 911 records that supported the allegation against the accused sergeant that he failed to initiate a complaint register investigation against the accused officer, IPRA recommended to SUSTAIN that allegation. IPRA recommended that the accused sergeant receive a reprimand.",0
82535,"On July 2nd, 2010, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving an on- duty Chicago Police Officer that occurred on June 27th, 2010 in the 7th District. It was alleged that the accused Officer deployed his Taser without making proper notification and deployed his Taser without completing a Tactical Response Report (TRR). Based on statements from the accused Officer and Department reports, IPRA recommended to SUSTAIN the allegations that the Officer deployed his Taser without making proper notification and deployed his Taser without completing a Tactical Response Report (TRR). IPRA recommended a written reprimand for the accused Officer.",1
85081,"On December 10th, 2010, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident involving two on-duty Chicago Police Detectives (Cross-Complainants Detective A and B) that occurred on December 10th, 2010 in the 5th District. It was alleged that the accused Detectives engaged in a verbal and physical altercation with each other; and brought discredit to the Department by their overall actions. During mediation, Detective A agreed to accept IPRAs finding of SUSTAINED for all allegations and a one (1) day suspension. During mediation, Detective B agreed to accept IPRAs finding of SUSTAINED for all allegations and a two (2) day suspension.",1
